1000016;FR56564503381;;FR0;0
1000016;564503381;;FR2;0
1000016;56450338100027;;FR1;0
1000017;FR75582012340;;FR0;0
1000017;582012340;;FR2;0
1000017;58201234000029;;FR1;0
1000018;FR41844843367;;FR0;0
1000018;844843367;;FR2;0
1000018;84484336700013;;FR1;0
1000019;FR40389470303;;FR0;0
1000019;389470303;;FR2;0
1000019;38947030300014;;FR1;0
1000020;429116965;;FR2;0
1000020;FR81429116965;;FR0;0
1000020;42911696500055;;FR1;0
1000021;5720784;;FR2;0
1000021;FR57005720784;;FR0;0
1000021;572078400015;;FR1;0
1000022;FR61341579761;;FR0;0
1000022;341579761;;FR2;0
1000022;34157976100014;;FR1;0
1000024;FR30410125124;;FR0;0
1000024;410125124;;FR2;0
1000024;41012512400041;;FR1;0
1000025;FR66775723083;;FR0;0
1000025;775723083;;FR2;0
1000025;77572308300058;;FR1;0
1000026;412114647;;FR2;0
1000026;FR92412114647;;FR0;0
1000026;41211464700032;;FR1;0
1000027;FR47300882016;;FR0;0
1000027;300882016;;FR2;0
1000027;30088201600011;;FR1;0
1000028;FR16799693189;;FR0;0
1000028;799693189;;FR2;0
1000028;79969318900026;;FR1;0
1000029;432213601;;FR2;0
1000029;FR08432213601;;FR0;0
1000029;43221360100011;;FR1;0
1000030;327675500;;FR2;0
1000030;FR91327675500;;FR0;0
1000030;32767550000026;;FR1;0
1000031;FR62414837815;;FR0;0
1000031;414837815;;FR2;0
1000031;41483781500011;;FR1;0
1000032;398810531;;FR2;0
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
